Longitude,Latitude
112.01,-30.506
112.14,-32.895
112.4,-30.807
112.61,-32.674
112.8,-31.107
113.08,-32.451
113.2,-31.406
113.54,-32.226
113.6,-31.704
114,-32
114,-32
113.613063668,20.2958212394
113.648112707,19.3940125075
113.682779988,18.4920783008
113.717088445,17.5900237146
113.733016409,16.6889696238
113.582211789,15.7980974809
113.4327122,14.9070253061
113.28443032,14.0157649155
113.137281364,13.1243280198
112.991182884,12.232726235
112.701881688,11.4209773343
112.003577562,10.8362646699
111.307964985,10.2499570707
110.614892115,9.66214797961
109.924207734,9.07292984057
109.235761225,8.48239415842
108.549402557,7.89063155839
107.864982258,7.29773184535
107.182351388,6.70378406295
106.501361506,6.10887655234
105.785041469,5.56498368677
104.9988526,5.12032137483
104.213743119,4.67469325025
-81.4944891259,7.5139897851
-82.3459100423,7.82507465228
-83.1985989764,8.13445045999
-84.0526012979,8.44204604657
-84.907961478,8.74779023563
-85.7647230491,9.05161184229
-86.6229285624,9.35343968011
-87.4826195464,9.65320256887
-88.3438364644,9.95082934328
-89.206618672,10.2462488624
-90.0710043735,10.53939002
-90.9370305789,10.8301817559
-91.8047330604,11.1185530684
-92.6741463079,11.404433027
-93.5453034856,11.6877507872
-94.4182363875,11.9684356052
-95.2929753936,12.2464168543
-96.1695494252,12.5216240421
-97.0479859012,12.7939868291
-97.9283106944,13.0634350475
-98.8105480873,13.3298987221
-99.6947207295,13.5933080916
-100.580849594,13.8535936314
-101.468953937,14.1106860772
-102.359051253,14.3645164497
-103.251157237,14.6150160807
-104.145285742,14.8621166403
-105.041448742,15.1057501644
-105.939656294,15.3458490844
-106.8399165,15.5823462574
-107.742235472,15.815174997
-108.6466173,16.0442691062
-109.553064019,16.2695629105
-110.461575577,16.4909912921
-111.372149808,16.7084897251
-112.284782409,16.9219943118
-113.199466908,17.1314418198
-114.116194652,17.3367697196
-115.03495478,17.5379162232
-115.95573421,17.7348203238
-116.878517626,17.9274218356
-117.803287465,18.1156614343
-118.730023912,18.2994806986
-119.658704893,18.4788221517
-120.589306074,18.6536293033
-121.521800867,18.8238466925
-122.456160432,18.9894199297
-123.392353686,19.1502957402
-124.330347321,19.306422007
-125.270105818,19.4577478134
-126.211591468,19.6042234863
-127.154764398,19.7458006386
-128.099582601,19.8824322119
-129.046001969,20.0140725184
-129.99397633,20.1406772826
-130.943457488,20.262203682
-131.894395275,20.3786103877
-132.846737594,20.4898576041
-133.800430477,20.5959071072
-134.755418143,20.6967222825
-135.711643059,20.7922681615
-136.669046008,20.8825114574
-137.627566158,20.9674205989
-138.587141136,21.0469657632
-139.547707105,21.1211189072
-140.509198848,21.1898537972
-141.471549848,21.253146037
-142.434692377,21.3109730944
-143.398557589,21.3633143257
-144.363075611,21.410150998
-145.328175639,21.4514663104
-146.293786037,21.4872454124
-147.259834435,21.5174754205
-148.226247836,21.5421454327
-149.192952716,21.561246541
-150.159875129,21.574771841
-151.126940816,21.5827164403
-152.094075311,21.5850774635
-153.061204047,21.5818540561
-154.028252466,21.5730473848
-154.995146127,21.5586606367
-155.961810812,21.5386990154
-156.928172634,21.5131697352
-157.894158143,21.4820820129
-158.214167,21.470556
145.576308025,13.7216229599
146.463741441,13.9792525935
147.353151271,14.2336530143
148.244553763,14.4847556394
149.137963344,14.7324922159
150.033392587,14.9767948482
150.930852169,15.2175960271
151.830350838,15.454828659
152.731895373,15.688426097
153.635490553,15.9183221728
154.541139126,16.1444512289
155.448841775,16.3667481531
156.358597091,16.5851484126
157.270401545,16.7995880899
158.184249467,17.0100039194
159.10013302,17.2163333244
160.018042181,17.4185144555
160.937964725,17.6164862293
161.859886211,17.810188368
162.783789967,17.9995614396
163.709657085,18.1845468987
164.637466415,18.3650871274
165.567194561,18.5411254776
166.498815883,18.7126063122
167.432302504,18.8794750483
168.367624315,19.041678199
169.304748988,19.1991634165
170.243641993,19.3518795346
171.184266619,19.4997766112
172.126583991,19.6428059712
